Country,Menciones,Promedio
United States,107,28.610000610351562
Brasil,34,9.09000015258789
Indonesia,33,8.819999694824219
United Kingdom,19,5.079999923706055
Republic of the Philippines,12,3.2100000381469727
India,10,2.6700000762939453
España,9,2.4100000858306885
Chile,8,2.140000104904175
Italia,7,1.8700000047683716
Venezuela,7,1.8700000047683716
