Language,Menciones,PromedioTag,PromedioIdioma,Tecnologia
English,9173,66.45999908447266,42.79999923706055,android
Spanish,1805,13.079999923706055,48.939998626708984,android
Indonesian,459,3.3299999237060547,33.15999984741211,android
Japanese,447,3.240000009536743,26.049999237060547,android
Portuguese,447,3.240000009536743,54.119998931884766,android
French,234,1.7000000476837158,36.38999938964844,android
German,190,1.3799999952316284,44.38999938964844,android
Italian,177,1.2799999713897705,56.189998626708984,android
Turkish,107,0.7799999713897705,61.849998474121094,android
Russian,97,0.699999988079071,40.08000183105469,android
