Language,Menciones,Promedio
English,21433,65.16000366210938
Spanish,3688,11.210000038146973
Japanese,1716,5.21999979019165
Indonesian,1384,4.210000038146973
Portuguese,826,2.509999990463257
French,643,1.9500000476837158
Arabic,480,1.4600000381469727
German,428,1.2999999523162842
Korean,333,1.0099999904632568
Italian,315,0.9599999785423279
