Language,Menciones,PromedioTag,PromedioIdioma,Tecnologia
English,7019,60.560001373291016,32.75,ios
Spanish,1522,13.130000114440918,41.27000045776367,ios
Japanese,1093,9.430000305175781,63.689998626708984,ios
Arabic,323,2.7899999618530273,67.29000091552734,ios
Korean,278,2.4000000953674316,83.4800033569336,ios
French,215,1.850000023841858,33.439998626708984,ios
Portuguese,194,1.6699999570846558,23.489999771118164,ios
Thai,191,1.649999976158142,72.9000015258789,ios
Indonesian,140,1.2100000381469727,10.119999885559082,ios
German,125,1.0800000429153442,29.209999084472656,ios
