Tag,Menciones,Promedio
android,13803,41.13999938964844
ios,11591,34.54999923706055
java,1979,5.900000095367432
python,1951,5.820000171661377
php,1394,4.150000095367432
javascript,854,2.549999952316284
html,786,2.3399999141693115
c#,690,2.059999942779541
c++,322,0.9599999785423279
#r,181,0.5400000214576721
