tag,Menciones,Promedio
c#,48960,12.40999984741211
java,25235,6.400000095367432
php,21578,5.46999979019165
javascript,16935,4.289999961853027
c++,15735,3.990000009536743
asp.net,15240,3.859999895095825
iphone,14102,3.569999933242798
.net,12944,3.2799999713897705
python,12920,3.2699999809265137
sql,10023,2.5399999618530273
