tag,Menciones,Promedio
java,173445,8.399999618530273
c#,166192,8.050000190734863
php,163510,7.920000076293945
javascript,145924,7.059999942779541
android,141929,6.869999885559082
c++,70810,3.430000066757202
python,70236,3.4000000953674316
jquery,70004,3.390000104904175
iphone,53301,2.5799999237060547
ruby-on-rails,40568,1.9600000381469727
