year,Menciones,Promedio
2008,2457,3.490000009536743
2009,16935,4.289999961853027
2010,42349,5.159999847412109
2011,91852,6.360000133514404
2012,145924,7.059999942779541
2013,231558,8.390000343322754
2014,309974,10.199999809265137
2015,339335,10.930000305175781
2016,365126,11.40999984741211
2017,34418,11.4399995803833
