year,Menciones,Promedio
2008,4555,6.46999979019165
2009,25235,6.400000095367432
2010,59676,7.28000020980835
2011,112568,7.789999961853027
2012,173445,8.399999618530273
2013,250381,9.069999694824219
2014,301445,9.90999984741211
2015,299731,9.649999618530273
2016,293318,9.15999984741211
2017,26512,8.8100004196167
