year,Menciones,Promedio
2008,7895,11.220000267028809
2009,48960,12.40999984741211
2010,83431,10.170000076293945
2011,127880,8.850000381469727
2012,166192,8.050000190734863
2013,212618,7.710000038146973
2014,222686,7.320000171661377
2015,207309,6.679999828338623
2016,206844,6.460000038146973
2017,18624,6.190000057220459
