tag,Menciones,Promedio
c#,127880,8.850000381469727
java,112568,7.789999961853027
php,110812,7.670000076293945
javascript,91852,6.360000133514404
android,91332,6.320000171661377
iphone,63343,4.380000114440918
c++,50719,3.509999990463257
jquery,48915,3.380000114440918
python,44478,3.0799999237060547
ruby-on-rails,32183,2.2300000190734863
