year,Menciones,Promedio
2008,57,0.07999999821186066
2009,356,0.09000000357627869
2010,1168,0.14000000059604645
2011,14017,0.9700000286102295
2012,39253,1.899999976158142
2013,81023,2.940000057220459
2014,117807,3.869999885559082
2015,126794,4.079999923706055
2016,111748,3.490000009536743
2017,9164,3.049999952316284
