tag,Menciones,Promedio
c#,7895,11.220000267028809
java,4555,6.46999979019165
.net,3681,5.230000019073486
c++,3097,4.400000095367432
asp.net,3000,4.260000228881836
php,2474,3.5199999809265137
javascript,2457,3.490000009536743
python,2127,3.0199999809265137
sql,1746,2.4800000190734863
sql-server,1300,1.850000023841858
