tag,Menciones,Promedio
javascript,34418,11.4399995803833
java,26512,8.8100004196167
python,22182,7.369999885559082
php,19499,6.480000019073486
c#,18624,6.190000057220459
android,16186,5.380000114440918
c++,9218,3.059999942779541
ios,9164,3.049999952316284
html,5653,1.8799999952316284
r,5522,1.840000033378601
