year,Menciones,Promedio
2008,809,1.149999976158142
2009,4723,1.2000000476837158
2010,9846,1.2000000476837158
2011,18969,1.309999942779541
2012,28619,1.3899999856948853
2013,46064,1.6699999570846558
2014,57623,1.899999976158142
2015,58820,1.8899999856948853
2016,59869,1.8700000047683716
2017,5653,1.8799999952316284
