year,Menciones,Promedio
2008,25,0.03999999910593033
2009,1797,0.46000000834465027
2010,27892,3.4000000953674316
2011,91332,6.320000171661377
2012,141929,6.869999885559082
2013,176078,6.380000114440918
2014,192943,6.349999904632568
2015,188620,6.070000171661377
2016,184241,5.75
2017,16186,5.380000114440918
