tag,Menciones,Promedio
java,250381,9.069999694824219
javascript,231558,8.390000343322754
php,221885,8.039999961853027
c#,212618,7.710000038146973
android,176078,6.380000114440918
python,112606,4.079999923706055
c++,98353,3.559999942779541
jquery,83284,3.0199999809265137
ios,81023,2.940000057220459
ruby-on-rails,48976,1.7699999809265137
