tag,Menciones,Promedio
javascript,339335,10.930000305175781
java,299731,9.649999618530273
php,220080,7.090000152587891
c#,207309,6.679999828338623
android,188620,6.070000171661377
python,174051,5.599999904632568
ios,126794,4.079999923706055
c++,103478,3.3299999237060547
html,58820,1.8899999856948853
jquery,52301,1.6799999475479126
