year,Menciones,Promedio
2008,2474,3.5199999809265137
2009,21578,5.46999979019165
2010,56790,6.920000076293945
2011,110812,7.670000076293945
2012,163510,7.920000076293945
2013,221885,8.039999961853027
2014,231250,7.610000133514404
2015,220080,7.090000152587891
2016,212139,6.630000114440918
2017,19499,6.480000019073486
