year,Menciones,Promedio
2008,8,0.009999999776482582
2009,430,0.10999999940395355
2010,1923,0.23000000417232513
2011,5462,0.3799999952316284
2012,12669,0.6100000143051147
2013,24951,0.8999999761581421
2014,36694,1.2100000381469727
2015,49858,1.6100000143051147
2016,58401,1.8200000524520874
2017,5522,1.840000033378601
