year,Menciones,Promedio
2008,2127,3.0199999809265137
2009,12920,3.2699999809265137
2010,27831,3.390000104904175
2011,44478,3.0799999237060547
2012,70236,3.4000000953674316
2013,112606,4.079999923706055
2014,145706,4.789999961853027
2015,174051,5.599999904632568
2016,209713,6.550000190734863
2017,22182,7.369999885559082
