year,Menciones,Promedio
2008,3097,4.400000095367432
2009,15735,3.990000009536743
2010,32974,4.019999980926514
2011,50719,3.509999990463257
2012,70810,3.430000066757202
2013,98353,3.559999942779541
2014,106430,3.5
2015,103478,3.3299999237060547
2016,99715,3.109999895095825
2017,9218,3.059999942779541
