Language,Menciones,PromedioTag,PromedioIdioma
English,9173,66.45999908447266,42.79999923706055
Spanish,1805,13.079999923706055,48.939998626708984
Indonesian,459,3.3299999237060547,33.15999984741211
Portuguese,447,3.240000009536743,54.119998931884766
Japanese,447,3.240000009536743,26.049999237060547
French,234,1.7000000476837158,36.38999938964844
German,190,1.3799999952316284,44.38999938964844
Italian,177,1.2799999713897705,56.189998626708984
Turkish,107,0.7799999713897705,61.849998474121094
Russian,97,0.699999988079071,40.08000183105469
