Language,Menciones,PromedioTag,PromedioIdioma
English,1370,70.22000122070312,6.389999866485596
Indonesian,213,10.920000076293945,15.390000343322754
Welsh,82,4.199999809265137,93.18000030517578
Spanish,63,3.2300000190734863,1.7100000381469727
French,48,2.4600000381469727,7.46999979019165
German,38,1.9500000476837158,8.880000114440918
Japanese,23,1.1799999475479126,1.340000033378601
Portuguese,14,0.7200000286102295,1.690000057220459
Turkish,8,0.4099999964237213,4.619999885559082
Estonian,8,0.4099999964237213,8.890000343322754
