Language,Menciones,PromedioTag,PromedioIdioma
English,173,53.72999954223633,0.8100000023841858
Japanese,32,9.9399995803833,1.8600000143051147
Korean,27,8.390000343322754,8.109999656677246
Spanish,17,5.28000020980835,0.46000000834465027
Arabic,16,4.96999979019165,3.3299999237060547
German,12,3.7300000190734863,2.799999952316284
French,8,2.4800000190734863,1.2400000095367432
Russian,6,1.8600000143051147,2.4800000190734863
Portuguese,6,1.8600000143051147,0.7300000190734863
Indonesian,5,1.5499999523162842,0.36000001430511475
