Language,Menciones,PromedioTag,PromedioIdioma
English,864,61.97999954223633,4.03000020980835
Indonesian,210,15.0600004196167,15.170000076293945
Tagalog,71,5.090000152587891,44.650001525878906
Spanish,46,3.299999952316284,1.25
Arabic,27,1.940000057220459,5.619999885559082
French,24,1.7200000286102295,3.7300000190734863
Portuguese,19,1.3600000143051147,2.299999952316284
Japanese,19,1.3600000143051147,1.1100000143051147
Russian,16,1.149999976158142,6.610000133514404
German,12,0.8600000143051147,2.799999952316284
