Language,Menciones,PromedioTag,PromedioIdioma
English,573,72.9000015258789,2.6700000762939453
Spanish,40,5.090000152587891,1.0800000429153442
Russian,32,4.070000171661377,13.220000267028809
Portuguese,29,3.690000057220459,3.509999990463257
Arabic,23,2.930000066757202,4.789999961853027
French,14,1.7799999713897705,2.180000066757202
Japanese,14,1.7799999713897705,0.8199999928474426
Indonesian,9,1.149999976158142,0.6499999761581421
German,9,1.149999976158142,2.0999999046325684
Korean,8,1.0199999809265137,2.4000000953674316
