Language,Menciones,PromedioTag,PromedioIdioma
English,711,83.26000213623047,3.319999933242798
Spanish,27,3.1600000858306885,0.7300000190734863
Japanese,21,2.4600000381469727,1.2200000286102295
Portuguese,16,1.8700000047683716,1.940000057220459
French,15,1.7599999904632568,2.3299999237060547
Italian,14,1.6399999856948853,4.440000057220459
Indonesian,10,1.1699999570846558,0.7200000286102295
Russian,6,0.699999988079071,2.4800000190734863
Romanian,4,0.4699999988079071,5.260000228881836
German,4,0.4699999988079071,0.9300000071525574
